# Los Angeles Sales Data - Competition Period
# Generated: 2025-06-30T02:57:40.318Z
# Competition Period: 2025-06-23 to 2025-07-06
# Total Sales: 350
# Highest Sale: $12,700,000
#
address,price,beds,baths,sqft,sale_date,url
"8064 Crosnoe Ave",1060000,4,3,2175,2025-06-23,"https://www.redfin.com/CA/Panorama-City/8064-Crosnoe-Ave-91402/home/4953063"
"21335 Kingsbury St",1055000,4,3,2326,2025-06-24,"https://www.redfin.com/CA/Chatsworth/21335-Kingsbury-St-91311/home/5776098"
"5282 Townsend Ave",1050000,2,2,1512,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/5282-Townsend-Ave-90041/home/7171410"
"1914 Selby Ave #302",1050000,2,2.5,1461,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/1914-Selby-Ave-90025/unit-302/home/6799916"
"9901 Rathburn Ave",1049880,4,2.5,2122,2025-06-27,"https://www.redfin.com/CA/Northridge/9901-Rathburn-Ave-91325/home/5819965"
"6609 Jamieson Ave",1049000,3,2,1672,2025-06-26,"https://www.redfin.com/CA/Reseda/6609-Jamieson-Ave-91335/home/3819196"
"10906 Darby Ave",1042000,3,1.75,1590,2025-06-23,"https://www.redfin.com/CA/Porter-Ranch/10906-Darby-Ave-91326/home/5786582"
"4917 Lincoln Ave",1040000,2,1,962,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/4917-Lincoln-Ave-90042/home/7081705"
"23330 Schoolcraft St",1025000,3,2,1570,2025-06-25,"https://www.redfin.com/CA/West-Hills/23330-Schoolcraft-St-91307/home/3136374"
"7969 Cora St",1025000,3,1.5,1389,2025-06-27,"https://www.redfin.com/CA/Sunland/7969-Cora-St-91040/home/5522165"
"9340 Yolanda Ave",1010000,4,2,1500,2025-06-26,"https://www.redfin.com/CA/Northridge/9340-Yolanda-Ave-91324/home/5856178"
"8554 Hanna Ave",1010000,4,1.75,1679,2025-06-27,"https://www.redfin.com/CA/West-Hills/8554-Hanna-Ave-91304/home/8096406"
"16718 Donmetz St",1001000,3,1.75,1500,2025-06-23,"https://www.redfin.com/CA/Granada-Hills/16718-Donmetz-St-91344/home/5733303"
"7048 Mclennan Ave",1000000,4,1.75,1496,2025-06-27,"https://www.redfin.com/CA/Van-Nuys/7048-McLennan-Ave-91406/home/4507011"
"3637 Virginia Rd",1000000,2,3,1711,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/3637-Virginia-Rd-90016/home/6889296"
"10019 Norwich Ave",1000000,4,3,2084,2025-06-27,"https://www.redfin.com/CA/Mission-Hills/10019-Norwich-Ave-91345/home/5698996"
"3444 S Sycamore Ave",997000,2,1,1134,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/3444-S-Sycamore-Ave-90016/home/6889862"
"3981 Moore St #302",990000,2,2,1090,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/3981-Moore-St-90066/unit-302/home/171295211"
"7741 Shoup Ave",975000,4,2,1570,2025-06-25,"https://www.redfin.com/CA/West-Hills/7741-Shoup-Ave-91304/home/8097737"
"7816 Quartz Ave",975000,3,2.5,2108,2025-06-27,"https://www.redfin.com/CA/Winnetka/7816-Quartz-Ave-91306/home/3670810"
"6655 Balcom Ave",970000,3,2,1328,2025-06-23,"https://www.redfin.com/CA/Reseda/6655-Balcom-Ave-91335/home/3819057"
"4667 W Avenue 40",969000,2,1,1136,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/4667-W-Avenue-40-90065/home/7176956"
"117 N Gale Dr #202",960052,2,2.5,1751,2025-06-27,"https://www.redfin.com/CA/Beverly-Hills/117-N-Gale-Dr-90211/unit-202/home/6814811"
"8016 Cora St",960000,3,2.5,1433,2025-06-26,"https://www.redfin.com/CA/Sunland/8016-Cora-St-91040/home/5522753"
"13075 Pacific Promenade #315",959000,2,2,1013,2025-06-24,"https://www.redfin.com/CA/Playa-Vista/13075-Pacific-Promenade-90094/unit-315/home/22927430"
"23334 Gilmore St",950000,3,2,1150,2025-06-26,"https://www.redfin.com/CA/West-Hills/23334-Gilmore-St-91307/home/3198855"
"13016 Stagg St",950000,4,2,1692,2025-06-25,"https://www.redfin.com/CA/North-Hollywood/13016-Stagg-St-91605/home/4963309"
"14108 Filmore St",950000,3,2,1389,2025-06-25,"https://www.redfin.com/CA/Arleta/14108-Filmore-St-91331/home/5595506"
"10424 Mcvine Ave",950000,3,2,1293,2025-06-24,"https://www.redfin.com/CA/Sunland/10424-McVine-Ave-91040/home/5520332"
"2131 Century Park Ln #402",947400,2,2,1310,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/2131-Century-Park-Ln-90067/unit-402/home/6809797"
"11330 Haskell Ave",945000,4,2.5,2051,2025-06-25,"https://www.redfin.com/CA/Granada-Hills/11330-Haskell-Ave-91344/home/5701587"
"10345 Almayo Ave #105",935000,2,2,1434,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/10345-Almayo-Ave-90064/unit-105/home/6795559"
"11535 Rochester Ave #307",930000,2,2.5,1443,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/11535-Rochester-Ave-90025/unit-307/home/6759288"
"6567 Debs Ave",925000,3,2,1160,2025-06-26,"https://www.redfin.com/CA/West-Hills/6567-Debs-Ave-91307/home/3178880"
"5627 Homeside Ave",919400,2,1,997,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/5627-Homeside-Ave-90016/home/6890977"
"4405 W Sarah St",915000,3,3,1495,2025-06-24,"https://www.redfin.com/CA/Burbank/4405-W-Sarah-St-91505/home/5390813"
"1488 Sandbar Ln",913800,3,3.5,1754,2025-06-26,"https://www.redfin.com/CA/San-Pedro/1488-Sandbar-Ln-90732/home/195456426"
"19942 Blythe St",910000,4,2,1647,2025-06-25,"https://www.redfin.com/CA/Winnetka/19942-Blythe-St-91306/home/3658023"
"1523 Lynton Ave",900000,5,2,1948,2025-06-27,"https://www.redfin.com/CA/Wilmington/1523-Lynton-Ave-90744/home/7674697"
"11147 Sherman Way",900000,8,4,3300,2025-06-23,"https://www.redfin.com/CA/Sun-Valley/11147-Sherman-Way-91352/home/5023453"
"4858 Druid St",885000,3,2,1750,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/4858-Druid-St-90032/home/6950719"
"12747 Deon Pl",885000,4,3,2559,2025-06-24,"https://www.redfin.com/CA/Granada-Hills/12747-Deon-Pl-91344/home/5573861"
"872 W 21st St",885000,3,1,1249,2025-06-27,"https://www.redfin.com/CA/San-Pedro/872-W-21st-St-90731/home/7694734"
"523 S Grand Ave #525",885000,4,2,2440,2025-06-23,"https://www.redfin.com/CA/San-Pedro/523-S-Grand-Ave-90731/unit-525/home/7689133"
"523 S Grand Ave",885000,4,2,2440,2025-06-23,"https://www.redfin.com/CA/San-Pedro/523-S-Grand-Ave-90731/home/194587969"
"822 E 87th Pl",880000,7,4,2344,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/822-E-87th-Pl-90002/home/7297913"
"9614 Bartee Ave",875000,3,2,1675,2025-06-26,"https://www.redfin.com/CA/Arleta/9614-Bartee-Ave-91331/home/5605130"
"6035 Simpson Ave",875000,3,1,1302,2025-06-26,"https://www.redfin.com/CA/North-Hollywood/6035-Simpson-Ave-91606/home/5127719"
"629 Traction Ave #514",875000,2,2,1280,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/629-Traction-Ave-90013/unit-514/home/12294112"
"4020 Hopevale Dr",875000,2,1,777,2025-06-23,"https://www.redfin.com/CA/Sherman-Oaks/4020-Hopevale-Dr-91403/home/4887834"
"9641 Odessa Ave",870000,3,2,1243,2025-06-24,"https://www.redfin.com/CA/North-Hills/9641-Odessa-Ave-91343/home/5723610"
"10341 Arnwood Rd",867500,3,2.5,1570,2025-06-25,"https://www.redfin.com/CA/Sylmar/10341-Arnwood-Rd-91342/home/5463756"
"10824 Bloomfield St #306",866500,3,2.75,1605,2025-06-25,"https://www.redfin.com/CA/North-Hollywood/10824-Bloomfield-St-91602/unit-306/home/5305988"
"2031 S Bentley Ave #102",865000,2,2.5,1600,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/2031-S-Bentley-Ave-90025/unit-102/home/6801730"
"8455 Fountain Ave #308",860000,2,2,1636,2025-06-23,"https://www.redfin.com/CA/West-Hollywood/8455-Fountain-Ave-90069/unit-308/home/7118412"
"1128 Cardiff Ave #201",860000,2,2,1435,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/1128-Cardiff-Ave-90035/unit-201/home/6812189"
"15952 Kalisher St",850000,4,2,1305,2025-06-27,"https://www.redfin.com/CA/Granada-Hills/15952-Kalisher-St-91344/home/5705906"
"14844 Dickens St #306",850000,2,2,1445,2025-06-25,"https://www.redfin.com/CA/Sherman-Oaks/14844-Dickens-St-91403/unit-306/home/4877486"
"6267 Le Sage Ave",850000,3,1.5,1160,2025-06-25,"https://www.redfin.com/CA/Woodland-Hills/6267-Le-Sage-Ave-91367/home/3185280"
"14874 Gotham St",849880,3,2,1220,2025-06-23,"https://www.redfin.com/CA/North-Hills/14874-Gotham-St-91343/home/5669850"
"9514 Delco Ave",849000,4,1.75,1438,2025-06-23,"https://www.redfin.com/CA/Chatsworth/9514-Delco-Ave-91311/home/5844162"
"16751 Ludlow St",841000,3,2,1365,2025-06-27,"https://www.redfin.com/CA/Granada-Hills/16751-Ludlow-St-91344/home/5734437"
"16321 Septo St",840000,3,2,1178,2025-06-24,"https://www.redfin.com/CA/North-Hills/16321-Septo-St-91343/home/5725851"
"6916 Winnetka Ave",840000,3,2,1095,2025-06-27,"https://www.redfin.com/CA/Winnetka/6916-Winnetka-Ave-91306/home/3938042"
"5662 Airdrome St",835000,1,2,691,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/5662-Airdrome-St-90019/home/6904266"
"7401 Capistrano Ave",825000,3,2,1892,2025-06-23,"https://www.redfin.com/CA/West-Hills/7401-Capistrano-Ave-91307/home/3080397"
"8471 W Hooper Ave",825000,4,2,1578,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/8471-Hooper-Ave-90001/home/7288168"
"7948 Fallbrook Ave",825000,3,2,1256,2025-06-25,"https://www.redfin.com/CA/West-Hills/7948-Fallbrook-Ave-91304/home/8098025"
"13642 Dronfield Ave",822000,4,3,2002,2025-06-23,"https://www.redfin.com/CA/Sylmar/13642-Dronfield-Ave-91342/home/179509947"
"3420 Lifur Ave",815000,2,1,768,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/3420-Lifur-Ave-90032/home/6952409"
"8180 Manitoba St #223",815000,2,2,1301,2025-06-25,"https://www.redfin.com/CA/Playa-del-Rey/8180-Manitoba-St-90293/unit-223/home/6628808"
"1124 W 185th St",815000,3,1.5,1240,2025-06-25,"https://www.redfin.com/CA/Gardena/1124-W-185th-St-90248/home/7327779"
"7953 Jamieson Ave",815000,4,1.75,1250,2025-06-25,"https://www.redfin.com/CA/Reseda/7953-Jamieson-Ave-91335/home/3609400"
"13105 Weidner St",811000,3,2,1472,2025-06-26,"https://www.redfin.com/CA/Pacoima/13105-Weidner-St-91331/home/5478401"
"13953 Candlewood Dr",810000,3,2,1292,2025-06-25,"https://www.redfin.com/CA/Sylmar/13953-Candlewood-Dr-91342/home/5550702"
"13200 Pacific Promenade #410",805000,1,1.5,1074,2025-06-27,"https://www.redfin.com/CA/Playa-Vista/13200-Pacific-Promenade-90094/unit-410/home/8136348"
"161 W 82nd St",805000,4,3,1500,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/161-W-82nd-St-90003/home/7290561"
"349 Kirby St",800000,3,1,1026,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/349-Kirby-St-90042/home/7087123"
"3740 S Harvard Blvd",799000,4,3,1756,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/3740-S-Harvard-Blvd-90018/home/6886131"
"22312 Leadwell St",785000,3,1.75,1358,2025-06-23,"https://www.redfin.com/CA/Canoga-Park/22312-Leadwell-St-91303/home/3093076"
"1905 Boca Ave",785000,2,1,973,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/1905-Boca-Ave-90032/home/6950185"
"18731 Hatteras St #26",785000,3,3,2137,2025-06-26,"https://www.redfin.com/CA/Tarzana/18731-Hatteras-St-91356/unit-26/home/4048860"
"1615 N Laurel Ave #106",785000,2,2,1040,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/1615-N-Laurel-Ave-90046/unit-106/home/7116620"
"13309 Filmore St",785000,4,3,1441,2025-06-24,"https://www.redfin.com/CA/Pacoima/13309-Filmore-St-91331/home/5481287"
"15156 Kingsbury St",783000,3,2,1146,2025-06-25,"https://www.redfin.com/CA/Mission-Hills/15156-Kingsbury-St-91345/home/5667075"
"4630 Woodley Ave #301",780000,2,3,1423,2025-06-27,"https://www.redfin.com/CA/Encino/4630-Woodley-Ave-91436/unit-301/home/4907877"
"735 E 118th Pl",780000,3,2,1782,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/735-E-118th-Pl-90059/home/7321332"
"14837 Hart St",778000,2,2,1611,2025-06-24,"https://www.redfin.com/CA/Van-Nuys/14837-Hart-St-91405/home/4452351"
"17600 Runnymede St",775000,3,2,1491,2025-06-26,"https://www.redfin.com/CA/Van-Nuys/17600-Runnymede-St-91406/home/4327222"
"425 S Humphreys Ave",775000,4,2,1756,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/425-S-Humphreys-Ave-90022/home/6960792"
"1734 S Burlington Ave",765000,3,2,1231,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/1734-S-Burlington-Ave-90006/home/6931544"
"18653 Burbank Blvd #2",760000,3,2.25,1763,2025-06-26,"https://www.redfin.com/CA/Tarzana/18653-Burbank-Blvd-91356/unit-2/home/4096709"
"1311 Exposition Blvd",755000,4,2,1520,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/1311-Exposition-Blvd-90018/home/6886067"
"414 Markton St",750000,4,2,1120,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/414-Markton-St-90061/home/7336873"
"22236 Germain St #1",750000,4,2.5,2138,2025-06-27,"https://www.redfin.com/CA/Chatsworth/22236-Germain-St-91311/unit-1/home/5798683"
"8876 Dorrington Ave",745000,3,1,1008,2025-06-27,"https://www.redfin.com/CA/Arleta/8876-Dorrington-Ave-91331/home/5643547"
"12206 Pinney St",745000,4,2,1288,2025-06-26,"https://www.redfin.com/CA/Sylmar/12206-Pinney-St-91342/home/5472011"
"9735 Reseda Blvd #56",745000,4,3,1728,2025-06-24,"https://www.redfin.com/CA/Northridge/9735-Reseda-Blvd-91324/unit-56/home/5855401"
"3509 S Pacific Ave",731000,3,2,1080,2025-06-24,"https://www.redfin.com/CA/San-Pedro/3509-S-Pacific-Ave-90731/home/7696436"
"1928 W 84th Pl",731000,2,1,1176,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/1928-W-84th-Pl-90047/home/7293555"
"645 W 9th St #603",720000,2,2,1090,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/645-W-9th-St-90015/unit-603/home/17227487"
"1503 Westmont Dr",720000,2,2.25,1434,2025-06-27,"https://www.redfin.com/CA/San-Pedro/1503-Westmont-Dr-90732/home/7684389"
"10056 Melinda Way #2",719000,2,2.5,1724,2025-06-24,"https://www.redfin.com/CA/Northridge/10056-Melinda-Way-91325/unit-2/home/5821603"
"20058 Lorne St",710000,3,3,1673,2025-06-25,"https://www.redfin.com/CA/Winnetka/20058-Lorne-St-91306/home/3670742"
"1132 Marietta St",708000,5,3,1249,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/1132-Marietta-St-90023/home/6937265"
"8732 Lucia Pl",700000,3,2,1330,2025-06-25,"https://www.redfin.com/CA/Sun-Valley/8732-Lucia-Pl-91352/home/5276748"
"13331 Moorpark St #109",700000,2,2,1279,2025-06-23,"https://www.redfin.com/CA/Sherman-Oaks/13331-Moorpark-St-91423/unit-109/home/5219927"
"4041 Bluff Pl #2",699000,2,2,1493,2025-06-27,"https://www.redfin.com/CA/San-Pedro/4041-Bluff-Pl-90731/unit-2/home/7696886"
"1351 E 50th St",695000,5,2.5,1872,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/1351-E-50th-St-90011/home/6922265"
"6721 S Springpark Ave Unit 3A",680000,2,1.75,1053,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/6721-Springpark-Ave-90056/unit-3A/home/6597410"
"9431 N Sepulveda Blvd #1",679990,3,2.5,1518,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/9431-N-Sepulveda-BLVD-91343/unit-1/home/195350023"
"18326 Collins St Unit B",675000,2,2.5,1655,2025-06-25,"https://www.redfin.com/CA/Tarzana/18326-Collins-St-91356/unit-B/home/4075013"
"9650 Sepulveda Blvd #11",670000,3,2.5,1841,2025-06-27,"https://www.redfin.com/CA/North-Hills/9650-Sepulveda-Blvd-91343/unit-11/home/8144300"
"14115 Moorpark St #112",670000,2,2,1500,2025-06-23,"https://www.redfin.com/CA/Sherman-Oaks/14115-Moorpark-St-91423/unit-112/home/4835185"
"15744 Devonshire St",662000,3,3,1485,2025-06-27,"https://www.redfin.com/CA/Granada-Hills/15744-Devonshire-St-91344/home/5700102"
"6121 S Wilton Pl",660000,2,2,1136,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/6121-S-Wilton-Pl-90047/home/7270260"
"2613 E 221 St",660000,2,1,1234,2025-06-23,"https://www.redfin.com/CA/Long-Beach/2613-E-221st-St-90810/home/7629758"
"15239 Lorne St",660000,3,1,1080,2025-06-26,"https://www.redfin.com/CA/Panorama-City/15239-Lorne-St-91402/home/4354347"
"8048 Wentworth St",650000,3,2,1154,2025-06-26,"https://www.redfin.com/CA/Sunland/8048-Wentworth-St-91040/home/5510983"
"5224 Zelzah Ave #108",649000,2,2.25,1538,2025-06-24,"https://www.redfin.com/CA/Encino/5224-Zelzah-Ave-91316/unit-108/home/4142193"
"629 Traction Ave #512",640000,1,1,710,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/629-Traction-Ave-90013/unit-512/home/12289310"
"11126 Laurel Canyon Blvd",640000,3,1.5,960,2025-06-25,"https://www.redfin.com/CA/San-Fernando/11126-Laurel-Canyon-Blvd-91340/home/5589179"
"141 S Clark Dr #409",635000,1,1,670,2025-06-26,"https://www.redfin.com/CA/West-Hollywood/141-S-Clark-Dr-90048/unit-409/home/17230090"
"13775 Glenoaks Blvd #4",625000,3,3,1253,2025-06-24,"https://www.redfin.com/CA/Rancho-Cascades/13775-Glenoaks-Blvd-91342/unit-4/home/8105529"
"889 Francisco St #2801",615000,1,2,780,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-2801/home/143519425"
"7530 Corbin Ave #1",615000,3,2.5,1257,2025-06-25,"https://www.redfin.com/CA/Reseda/7530-Corbin-Ave-91335/unit-1/home/3773507"
"1501 Pleasant Ave",610000,3,3,2045,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/1501-Pleasant-Ave-90033/home/6937899"
"1632 S Van Ness Ave",600000,1,1,484,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/1632-S-Van-Ness-Ave-90019/home/6907108"
"1416 -1418 N Beverly Glen Blvd",600000,0,0,0,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/1418-N-Beverly-Glen-Blvd-90077/home/51587456"
"10249 Tujunga Canyon Blvd #1",589000,2,2,1080,2025-06-24,"https://www.redfin.com/CA/Tujunga/10249-Tujunga-Canyon-Blvd-91042/unit-1/home/5518229"
"2834 Delevan Dr",580000,2,1,786,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/2834-Delevan-Dr-90065/home/7079401"
"10171 Valley Circle Blvd #1",580000,3,2,1288,2025-06-28,"https://www.redfin.com/CA/Chatsworth/10171-Valley-Circle-Blvd-91311/unit-1/home/5801403"
"5353 Yarmouth Ave #105",565000,2,2.5,1355,2025-06-25,"https://www.redfin.com/CA/Encino/5353-Yarmouth-Ave-91316/unit-105/home/4141966"
"547 W 106th St",565000,3,2,1923,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/547-W-106th-St-90044/home/7310803"
"4755 Templeton St #2112",555000,2,2,1086,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/4755-Templeton-St-90032/unit-2112/home/6949182"
"1731 E 64th St",550000,3,1,926,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/1731-E-64th-St-90001/home/7275214"
"8333 Columbus Ave #25",535000,3,3,1343,2025-06-23,"https://www.redfin.com/CA/North-Hills/8333-Columbus-Ave-91343/unit-25/home/5687028"
"18611 Collins St Unit E5",530000,3,2,1187,2025-06-24,"https://www.redfin.com/CA/Tarzana/18611-Collins-St-91356/unit-E5/home/4059761"
"810 E 107th St",530000,2,1,612,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/810-E-107th-St-90002/home/7303973"
"12226 Berendo Ave",520000,3,2,1173,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/12226-Berendo-Ave-90044/home/7323593"
"5376 Fairview Blvd #210",520000,2,2,1154,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/5376-Fairview-Blvd-90056/unit-210/home/6597099"
"15735 Nordhoff St #25",520000,2,2.25,1307,2025-06-24,"https://www.redfin.com/CA/North-Hills/15735-Nordhoff-St-91343/unit-25/home/5714503"
"5565 Canoga Ave #107",518000,2,2,920,2025-06-25,"https://www.redfin.com/CA/Woodland-Hills/5565-Canoga-Ave-91367/unit-107/home/8183013"
"19431 Sherman Way #29",500000,2,1.5,1058,2025-06-25,"https://www.redfin.com/CA/Reseda/19431-Sherman-Way-91335/unit-29/home/3780402"
"5508 Fortuna St",500000,2,1,704,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/5508-Fortuna-St-90011/home/6920999"
"2278 Cove Ave",495000,1,1,360,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/2278-Cove-Ave-90039/home/7057123"
"630 N Grand Ave #402",490000,2,2,847,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/630-N-Grand-Ave-90012/unit-402/home/7054801"
"328 W 83rd St",489000,2,1,926,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/328-W-83rd-St-90003/home/7290647"
"14501 Tupper St #15",470000,3,2,1134,2025-06-23,"https://www.redfin.com/CA/Panorama-City/14501-Tupper-St-91402/unit-15/home/5653600"
"2339 Lillyvale Ave #156",466000,2,2,813,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/2339-Lillyvale-Ave-90032/unit-156/home/6953684"
"126 W 94th St",461000,2,1,816,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/126-W-94th-St-90003/home/7305038"
"1619 W 14th St",460000,3,1,744,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/1619-W-14th-St-90015/home/6931611"
"8283 Willis Ave #8",450000,2,3,1265,2025-06-26,"https://www.redfin.com/CA/Panorama-City/8283-Willis-Ave-91402/unit-8/home/4360429"
"10676 Somma Way",450000,0,0,0,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/10676-Somma-Way-90077/home/193426105"
"18620 Hatteras St #122",407000,2,2,910,2025-06-24,"https://www.redfin.com/CA/Tarzana/18620-Hatteras-St-91356/unit-122/home/4061216"
"22050 Calvert St St #17",380000,3,1,1021,2025-06-27,"https://www.redfin.com/CA/Woodland-Hills/22050-Calvert-St-91367/unit-17/home/18604560"
"1467 Ridge Way",375000,0,0,0,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/1467-Ridge-Way-90026/home/22639562"
"11107 Arminta St #15",365000,2,2,1102,2025-06-27,"https://www.redfin.com/CA/Sun-Valley/11107-Arminta-St-91352/unit-15/home/5012810"
"6815 Remmet Ave #208",361000,1,1,619,2025-06-24,"https://www.redfin.com/CA/Canoga-Park/6815-Remmet-Ave-91303/unit-208/home/3962151"
"5535 Canoga Ave #117",347500,1,1,610,2025-06-24,"https://www.redfin.com/CA/Woodland-Hills/5535-Canoga-Ave-91367/unit-117/home/8182313"
"11150 Glenoaks Blvd #27",333000,1,1,642,2025-06-25,"https://www.redfin.com/CA/Pacoima/11150-Glenoaks-Blvd-91331/unit-27/home/5484281"
"7250 Franklin Ave #906",300000,0,1,449,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/7250-Franklin-Ave-90046/unit-906/home/7114346"
"21800 Schoenborn St #318",285000,1,1,511,2025-06-24,"https://www.redfin.com/CA/Canoga-Park/21800-Schoenborn-St-91304/unit-318/home/5874726"
"1453 W 58th Pl",275000,2,1,802,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/1453-W-58th-Pl-90047/home/7270364"
"5460 White Oak Ave Unit E211",210000,2,2,990,2025-06-23,"https://www.redfin.com/CA/Encino/5460-White-Oak-Ave-91316/unit-E211/home/4771828"
"3661 McKenzie Ave",200000,0,0,0,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/3661-Mckenzie-Ave-90032/home/191983522"
"4201 Topanga Canyon Blvd #130",190000,2,2,1160,2025-06-27,"https://www.redfin.com/CA/Woodland-Hills/4201-Topanga-Canyon-Blvd-91364/unit-130/home/22131144"
"8250 Lankershim Blvd #158",189950,3,2,800,2025-06-24,"https://www.redfin.com/CA/North-Hollywood/8250-Lankershim-Blvd-91605/unit-158/home/195797852"
"1065 Lomita Blvd #312",165000,2,1.75,1440,2025-06-26,"https://www.redfin.com/CA/Harbor-City/1065-Lomita-Blvd-90710/unit-312/home/195358145"
