# Los Angeles Sales Data - Competition Period
# Generated: 2025-06-30T02:57:40.318Z
# Competition Period: 2025-06-23 to 2025-07-06
# Total Sales: 350
# Highest Sale: $12,700,000
#
address,price,beds,baths,sqft,sale_date,url
"1741 Golden Gate Ave",2410000,3,2,2132,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/1741-Golden-Gate-Ave-90026/home/7060723"
"6715 Colgate Ave",2375000,3,2.25,1907,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/6715-Colgate-Ave-90048/home/7093951"
"4071 Mandeville Canyon Rd",2367500,3,2.25,2321,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/4071-Mandeville-Canyon-Rd-90049/home/6859222"
"3106 Scotland St",2350000,3,3.5,1936,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/3106-Scotland-St-90039/home/7062861"
"2115 Stoney Hill Rd",2350000,2,1.75,3059,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/2115-Stoney-Hill-Rd-90049/home/6860551"
"5515 Calhoun Ave",2340000,0,0,2178,2025-06-24,"https://www.redfin.com/CA/Sherman-Oaks/5515-Calhoun-Ave-91401/home/4695114"
"1010 Monument St",2300000,0,0,0,2025-06-27,"https://www.redfin.com/CA/Pacific-Palisades/1010-Monument-St-90272/home/6846310"
"13046 Woodbridge St",2300000,3,3,2402,2025-06-23,"https://www.redfin.com/CA/Studio-City/13046-Woodbridge-St-91604/home/5247988"
"20678 W Wood Rose Ct",2290000,5,5.5,3805,2025-06-23,"https://www.redfin.com/CA/Porter-Ranch/20678-W-Wood-Rose-Ct-91326/home/169915615"
"740 N Sierra Bonita Ave",2275000,3,2,1965,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/740-N-Sierra-Bonita-Ave-90046/home/7102686"
"2527 Amherst Ave",2250000,3,4,2420,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/2527-Amherst-Ave-90064/home/6755131"
"2613 Military Ave",2200000,4,2.75,2140,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/2613-Military-Ave-90064/home/6754122"
"4615 Maleza Pl",2177250,5,4,3026,2025-06-25,"https://www.redfin.com/CA/Tarzana/4615-Maleza-Pl-91356/home/4253571"
"2828 Reservoir St",2165000,4,4.5,3335,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/2828-Reservoir-St-90026/home/7051983"
"917 Howard St",2150000,4,4,3132,2025-06-23,"https://www.redfin.com/CA/Marina-del-Rey/917-Howard-St-90292/home/6735849"
"3584 Woodcliff Rd",2100000,3,2.5,2166,2025-06-26,"https://www.redfin.com/CA/Sherman-Oaks/3584-Woodcliff-Rd-91403/home/4892912"
"1974 S Crescent Heights Blvd",2050000,5,3.5,2639,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/1974-S-Crescent-Heights-Blvd-90034/home/6902163"
"1024 Stearns Dr",2045000,3,2.5,1872,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/1024-Stearns-Dr-90035/home/6915042"
"549 San Juan Ave",2000000,6,3,2546,2025-06-27,"https://www.redfin.com/CA/Venice/549-San-Juan-Ave-90291/home/6742280"
"4150 Elmer Ave",2000000,3,2,1749,2025-06-27,"https://www.redfin.com/CA/North-Hollywood/4150-Elmer-Ave-91602/home/5232941"
"746 Brooks Ave",1975000,4,3.5,2208,2025-06-25,"https://www.redfin.com/CA/Venice/746-Brooks-Ave-90291/home/110239583"
"3835 Clayton Ave",1945000,3,2.75,2072,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/3835-Clayton-Ave-90027/home/7061161"
"4545 Tyrone Ave",1925000,3,2.25,2375,2025-06-24,"https://www.redfin.com/CA/Sherman-Oaks/4545-Tyrone-Ave-91423/home/4830657"
"4405 Carpenter Ave",1918000,2,1.5,1793,2025-06-27,"https://www.redfin.com/CA/Valley-Village/4405-Carpenter-Ave-91607/home/5226661"
"1851 Westerly Ter",1914249,4,2,1942,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/1851-Westerly-Ter-90026/home/7062304"
"17181 Avenida De La Herradura",1901000,4,2,1908,2025-06-27,"https://www.redfin.com/CA/Pacific-Palisades/17181-Avenida-de-la-Herradura-90272/home/6848535"
"929 Lake St",1900000,3,1.75,1500,2025-06-26,"https://www.redfin.com/CA/Venice/929-Lake-St-90291/home/6745141"
"5730 Lasaine Ave",1900000,4,4.5,2202,2025-06-27,"https://www.redfin.com/CA/Encino/5730-Lasaine-Ave-91316/home/4761212"
