"City","Total Sales","Highest Price","Highest Address"
"Dallas","28","1200000","6633 Greenwich Ln"
"Houston","32","1850000","7524 Ciano Ln"
"Las Vegas","31","10750000","39 Crested Cloud Way"
"Los Angeles","9","2600000","3202 Club Dr"
"Miami","5","770000","10430 SW 133rd Ct"
"Nashville","15","6700000","404 W Brookfield Ave"
"New Orleans","12","875000","1140 Decatur St #4"
"New York","26","1750000","237 Bayview Ave"
"Phoenix","13","1150000","36923 N 31st Ave"
"San Francisco","15","4300000","168 25th Ave"
