"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"3202 Club Dr","Los Angeles","CA","2600000","6/26/2025","4","4","3611","https://www.redfin.com/CA/Los-Angeles/3202-Club-Dr-90064/home/6796293"
"9016 Wonderland Ave","Los Angeles","CA","1876384","6/30/2025","3","2.5","1800","https://www.redfin.com/CA/Los-Angeles/9016-Wonderland-Ave-90046/home/7122522"
"835 S Highland Ave","Los Angeles","CA","1734000","6/25/2025","3","2","2055","https://www.redfin.com/CA/Los-Angeles/835-S-Highland-Ave-90036/home/6912267"
"3821 S Muirfield Rd","Los Angeles","CA","1310000","6/24/2025","4","2","1620","https://www.redfin.com/CA/Los-Angeles/3821-S-Muirfield-Rd-90008/home/6888544"
"3843 N Riley Ln","Los Angeles","CA","1220425","6/24/2025","2","2.5","1642","https://www.redfin.com/CA/Los-Angeles/3843-N-Riley-Ln-90065/home/196186229"
"904 S New Hampshire Ave #707","Los Angeles","CA","849000","6/27/2025","2","2","1192","https://www.redfin.com/CA/Los-Angeles/904-S-New-Hampshire-Ave-90006/unit-707/home/196264514"
"720 Waterloo St #12","Los Angeles","CA","730000","6/30/2025","2","2.5","1152","https://www.redfin.com/CA/Los-Angeles/720-Waterloo-St-90026/unit-12/home/7052522"
"10966 Rochester Ave Unit 5D","Los Angeles","CA","650000","6/30/2025","2","2","979","https://www.redfin.com/CA/Los-Angeles/10966-Rochester-Ave-90024/unit-5D/home/6801964"
"1632 S Van Ness Ave","Los Angeles","CA","600000","6/23/2025","1","1","484","https://www.redfin.com/CA/Los-Angeles/1632-S-Van-Ness-Ave-90019/home/6907108"
