address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"32 Fountain Ave",1850000,0,0,6713,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/32-Fountain-Ave-11208/home/146398311"
"410 W 146th St",1850000,0,0,4400,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/NY/New-York/410-W-146th-St-10031/home/45308975"
"2624 Avenue K",1990000,0,0,2058,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/2624-Avenue-K-11210/home/40871023"
"22 E 129th St #3",1999000,0,0,3024,"2025-05-16T07:00:00Z","YES","https://www.redfin.com/NY/New-York/22-E-129th-St-10035/unit-3/home/45299954"
"96 Bay 17th St",1999000,6,4,3217,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/96-Bay-17th-St-11214/home/40831578"
"101 Warren St Unit 9F",2025000,0,0,979,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/NY/New-York/101-Warren-St-10007/unit-9F/home/45220593"
"435 16th St #8",2250000,0,0,7112,"2025-06-02T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/435-16th-St-11215/unit-8/home/40704737"
"240 Warren St Unit B",2253000,0,0,1165,"2025-05-13T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/240-Warren-St-11201/unit-B/home/40684862"
"844 44th St",2265000,12,5,3750,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/844-44th-St-11220/home/40691508"
"160 Prospect Park W #4",2275000,0,0,1188,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/160-Prospect-Park-W-11215/unit-4/home/108528165"
"52 Park Ave #17",2400000,0,0,2088,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/NY/New-York/52-Park-Ave-10016/unit-17/home/45127176"
"119 Lefferts Pl",2400000,0,0,4000,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/119-Lefferts-Pl-11238/home/40732990"
"556 Lafayette Ave",2600000,0,0,8800,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/556-Lafayette-Ave-11205/home/40725852"
"265 State St #1401",2675000,0,0,1744,"2025-04-25T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/265-State-St-11201/unit-1401/home/113613564"
"1 Prospect Park W Unit 4F",2775000,0,0,1596,"2025-05-02T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/1-Prospect-Park-W-11215/unit-4F/home/172660132"
"130 Barrow St Ph 10",2800000,0,0,1103,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/NY/New-York/130-Barrow-St-10014/unit-10/home/45245832"
"4662 Grosvenor Ave",2800000,0,0,4324,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/4662-Grosvenor-Ave-10471/home/44763247"
"72 Poplar St Unit 2A",2995000,0,0,1577,"2025-06-11T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/72-Poplar-St-11201/unit-2A/home/92328360"
"284 Clermont Ave",2998000,0,0,2052,"2025-05-27T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/284-Clermont-Ave-11205/home/21635354"
"120 E 87th St Unit R16",3100000,0,0,1628,"2025-05-02T07:00:00Z","YES","https://www.redfin.com/NY/New-York/120-E-87th-St-10128/unit-R16/home/45292098"
"5 Sutton St",3343000,0,0,6488,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/5-Sutton-St-11222/home/40741719"
"400 5th Ave Unit 44A",3485000,0,0,1637,"2025-06-11T07:00:00Z","YES","https://www.redfin.com/NY/New-York/400-5th-Ave-10018/unit-44A/home/45331846"
"10 Sullivan St Unit 3C",3577000,0,0,1269,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/NY/New-York/10-Sullivan-St-10012/unit-3C/home/109654023"
"101 Warren St #810",3725000,0,0,2004,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/NY/New-York/101-Warren-St-10007/unit-810/home/45220619"
"43 Wooster St Unit 3E",3825000,0,0,1948,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/NY/New-York/43-Wooster-St-10013/unit-3E/home/45119896"
"260 Bowery #6",4540000,0,0,2022,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/NY/New-York/260-Bowery-10012/unit-6/home/173424591"
"212 Warren St Unit 11L",4740000,0,0,2277,"2025-06-11T07:00:00Z","YES","https://www.redfin.com/NY/New-York/212-Warren-St-10282/unit-11L/home/109653743"
"614 3rd St",4750000,0,0,4152,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/614-3rd-St-11215/home/40703834"
"7 Harrison St Unit 3N",5500000,0,0,2205,"2025-06-05T07:00:00Z","YES","https://www.redfin.com/NY/New-York/7-Harrison-St-10013/unit-3N/home/105885016"
"152 Elizabeth St Unit 3E",5600000,0,0,1968,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/NY/New-York/152-Elizabeth-St-10012/unit-3E/home/114700497"
"40 Bleecker St Unit 9D",5825000,0,0,1634,"2025-05-08T07:00:00Z","YES","https://www.redfin.com/NY/New-York/40-Bleecker-St-10012/unit-9D/home/147301018"
"250 West St Unit 4D",5935600,0,0,2505,"2025-05-02T07:00:00Z","YES","https://www.redfin.com/NY/New-York/250-West-St-10013/unit-4D/home/53327665"
"115 W 57th St",6650000,0,0,8790,"2025-04-09T07:00:00Z","YES","https://www.redfin.com/NY/New-York/115-W-57th-St-10019/home/45260416"
"211 W 58th St",7000000,0,0,9270,"2025-05-16T07:00:00Z","YES","https://www.redfin.com/NY/New-York/211-W-58th-St-10019/home/45261410"
"109 Greene St Unit A",7000000,0,0,1953,"2025-04-25T07:00:00Z","YES","https://www.redfin.com/NY/New-York/109-Greene-St-10012/unit-A/home/45138075"
"48 E 73rd St",7550000,0,0,7280,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/NY/New-York/48-E-73rd-St-10021/home/45283305"
"101 Warren St #3210",12000000,0,0,6366,"2025-06-13T07:00:00Z","YES","https://www.redfin.com/NY/New-York/101-Warren-St-10007/unit-3210/home/45221041"
"140 Franklin St",12600000,0,0,4165,"2025-04-09T07:00:00Z","YES","https://www.redfin.com/NY/New-York/140-Franklin-St-10013/home/45125625"
"443 Greenwich St Unit 5C",16500000,0,0,3227,"2025-05-07T07:00:00Z","NO (outlier)","https://www.redfin.com/NY/New-York/443-Greenwich-St-10013/unit-5C/home/112774685"
"88 Linden Blvd",28000000,0,0,60259,"2025-05-06T07:00:00Z","NO (outlier)","https://www.redfin.com/NY/Brooklyn/88-Linden-Blvd-11226/home/40785692"
