# Phoenix, AZ Baseline Calculation Summary
# Generated: 2025-06-25T06:44:54.806Z
# Baseline Period: 90 days
# Total Sales Found: 350
# Sales Used for Baseline: 343
# Outliers Removed: 7
# Calculated Baseline: $460,000
# Price Range (after outliers): $150,000 - $3,780,000
# Median Calculation: Middle value: $460,000
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"2235 W Baseline Rd",260000,0,0,0,"2025-05-02T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2235-W-Baseline-Rd-85041/home/167694178"
"5124 N 31st Pl #514",261000,0,1,1073,"2025-06-18T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/5124-N-31st-Pl-85016/unit-514/home/27392401"
"2750 W Meadowbrook Ave",265000,2,2,899,"2025-04-18T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2750-W-Meadowbrook-Ave-85017/home/27895037"
"4411 N 36th Dr",267000,0,2,1209,"2025-06-02T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/4411-N-36th-Dr-85019/home/28236406"
"5529 W Virginia Ave",267500,3,2,1678,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/5529-W-Virginia-Ave-85035/home/27606476"
"17243 N 16th St #24",268000,0,2,1047,"2025-05-09T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/17243-N-16th-St-85022/unit-24/home/28271988"
"2260 W Harmont Dr",270000,2,2.5,1414,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2260-W-Harmont-Dr-85021/home/173702613"
"2608 W Van Buren St",270000,0,0,0,"2025-05-13T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2608-W-Van-Buren-St-85009/home/28216283"
"15650 N 19th Ave Unit 1C",270900,0,4,1564,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/15650-N-19th-Ave-85023/unit-1C/home/27606483"
"1754 E Alta Vista Rd",273000,4,2,1628,"2025-06-18T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1754-E-Alta-Vista-Rd-85042/home/27276409"
"8732 W Clarendon Ave",273000,0,2,1636,"2025-06-12T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/8732-W-Clarendon-Ave-85037/home/27498974"
"2715 E Windsor Ave",280000,3,2,1314,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2715-E-Windsor-Ave-85008/home/27294681"
"6708 N 31st Ln",285000,0,2,1711,"2025-04-01T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/6708-N-31st-Ln-85017/home/28412948"
"3902 E Joan de Arc Ave",290000,0,2,1240,"2025-06-11T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3902-E-Joan-de-Arc-Ave-85032/home/27101916"
"17365 N Cave Creek Rd #121",291000,2,2.5,1196,"2025-04-17T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/17365-N-Cave-Creek-Rd-85032/unit-121/home/28193671"
"4200 N 38th St #3",299000,0,1,650,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/4200-N-38th-St-85018/unit-3/home/28273695"
"4142 N 11th St #4",299000,0,2,1012,"2025-04-09T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/4142-N-11th-St-85014/unit-4/home/27351212"
"10235 W Veliana Way",299000,0,3,1528,"2025-04-22T07:00:00Z","YES","https://www.redfin.com/AZ/Tolleson/10235-W-Veliana-Way-85353/home/28391486"
"7515 S 28th Ter",299000,0,2,1205,"2025-04-01T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/7515-S-28th-Ter-85042/home/28253134"
"1305 E Campbell Ave",299900,0,0,0,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1305-E-Campbell-Ave-85014/home/28388903"
"2326 N 48th Dr",300000,3,2,1161,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2326-N-48th-Dr-85035/home/27844292"
"1010 W Villa Rita Dr",300000,4,2,1843,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1010-W-Villa-Rita-Dr-85023/home/27235618"
"4806 W St Anne Ave",300000,0,3,1701,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/AZ/Laveen/4806-W-St-Anne-Ave-85339/home/28379506"
"3501 E Carol Ann Way",300000,5,2,1980,"2025-06-18T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3501-E-Carol-Ann-Way-85032/home/27071980"
"1710 W Wickieup Ln",300000,0,2,1422,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1710-W-Wickieup-Ln-85027/home/27901187"
"10115 W Southern Ave",300000,0,0,0,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/AZ/Tolleson/10115-W-Southern-Ave-85353/home/110011332"
"1320 E Bethany Home Rd #91",300000,0,2,952,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1320-E-Bethany-Home-Rd-85014/unit-91/home/27617207"
"3032 N 32nd St #61",300000,2,1,912,"2025-06-24T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3032-N-32nd-St-85018/unit-61/home/27494324"
"37027 N 19th St",300000,0,0,1568,"2025-04-14T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/37027-N-19th-St-85086/home/27458071"
"8339 W Devonshire Ave",300000,3,2,1324,"2025-06-17T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/8339-W-Devonshire-Ave-85037/home/27588579"
"4418 W Paradise Dr",305000,0,3,2654,"2025-04-02T07:00:00Z","YES","https://www.redfin.com/AZ/Glendale/4418-W-Paradise-Dr-85304/home/28051750"
"3238 W Altadena Ave",305000,3,2,1464,"2025-06-04T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3238-W-Altadena-Ave-85029/home/27447029"
"4616 E Piedmont Rd",306500,0,3,1195,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/4616-E-Piedmont-Rd-85044/home/27938082"
"20813 N 9th Ave",307000,0,3,1290,"2025-06-04T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/20813-N-9th-Ave-85027/home/27033247"
"1519 W Cocopah St",309000,3,2,1768,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1519-W-Cocopah-St-85007/home/27903718"
"12431 N 39th Way",310000,0,3,3001,"2025-04-16T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/12431-N-39th-Way-85032/home/27976714"
"3301 W Portland St",310000,3,1,1184,"2025-04-30T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3301-W-Portland-St-85009/home/27352969"
"14622 N 37th St",317500,0,2,1350,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/14622-N-37th-St-85032/home/27051730"
"17225 N 35th St",320000,0,2,1218,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/17225-N-35th-St-85032/home/27139134"
"2010 N 24th Pl",320000,0,1,952,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2010-N-24th-Pl-85008/home/27511688"
"3422 W Poinsettia Dr",320000,3,2,1246,"2025-06-10T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3422-W-Poinsettia-Dr-85029/home/27837902"
"1030 E Bethany Home Rd #18",321000,0,2,1378,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1030-E-Bethany-Home-Rd-85014/unit-18/home/28192664"
"2139 W Whitton Ave",321000,3,2,1472,"2025-04-22T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2139-W-Whitton-Ave-85015/home/27409562"
"1214 E Las Palmaritas Dr",324900,0,2,1494,"2025-06-11T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1214-E-Las-Palmaritas-Dr-85020/home/28045584"
"5904 S 30th Ln",328250,4,2,1918,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/5904-S-30th-Ln-85041/home/28363521"
"2929 W Sunnyside Dr",330000,3,2,1297,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2929-W-Sunnyside-Dr-85029/home/28041648"
"37517 N 22nd St",332000,0,0,1248,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/37517-N-22nd-St-85086/home/27340610"
"2954 E Marco Polo Rd",333000,3,2,1662,"2025-04-18T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2954-E-Marco-Polo-Rd-85050/home/27382233"
"8640 W Mitchell Dr",333000,4,2,1651,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/8640-W-Mitchell-Dr-85037/home/27774713"
"4525 N 66th St #65",336800,3,2,2109,"2025-06-10T07:00:00Z","YES","https://www.redfin.com/AZ/Scottsdale/4525-N-66th-St-85251/unit-65/home/27977957"
"1425 E Desert Cove Ave Unit 24A",340000,0,2,1592,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1425-E-Desert-Cove-Ave-85020/unit-24A/home/27573804"
"6619 W Whyman Ave",345000,3,2,1285,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/6619-W-Whyman-Ave-85043/home/28011547"
"8106 W Watkins St",349000,4,2,1520,"2025-04-25T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/8106-W-Watkins-St-85043/home/27821991"
"2822 N 90th Ave",349000,3,2,1334,"2025-06-19T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2822-N-90th-Ave-85037/home/27388911"
"16447 N 29th Ln",350000,2,2,1328,"2025-04-03T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/16447-N-29th-Ln-85053/home/27902149"
"5043 N 69th Ave",350000,4,2,1603,"2025-04-30T07:00:00Z","YES","https://www.redfin.com/AZ/Glendale/5043-N-69th-Ave-85303/home/27895921"
"1814 W Kerry Ln",350000,0,2,1533,"2025-04-08T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1814-W-Kerry-Ln-85027/home/27627069"
"6610 S 25th Ave",350000,3,2,1288,"2025-06-02T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/6610-S-25th-Ave-85041/home/28007306"
"3637 W Mulholland Dr",350000,0,0,0,"2025-06-02T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3637-W-Mulholland-Dr-85083/home/28186893"
"3217 E Desert Cove Ave",350000,0,2,1527,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3217-E-Desert-Cove-Ave-85028/home/28204377"
"7147 W Westview Dr",350000,3,1.75,1284,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/7147-W-Westview-Dr-85033/home/28247082"
"1129 S 10th St",350000,3,2,1260,"2025-04-09T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1129-S-10th-St-85034/home/26905387"
"6119 W Highland Ave",350000,0,2,2157,"2025-06-04T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/6119-W-Highland-Ave-85033/home/26945488"
"1614 W Mclellan Blvd",353775,3,2,1269,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1614-W-McLellan-Blvd-85015/home/195415918"
"4542 N 28th Dr",355000,3,2,1960,"2025-06-18T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/4542-N-28th-Dr-85017/home/27209346"
