# Nashville, TN Baseline Calculation Summary
# Generated: 2025-06-25T06:44:51.649Z
# Baseline Period: 90 days
# Total Sales Found: 350
# Sales Used for Baseline: 343
# Outliers Removed: 7
# Calculated Baseline: $529,000
# Price Range (after outliers): $185,000 - $5,167,715
# Median Calculation: Middle value: $529,000
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"403 Hadley Ave",300000,3,1.5,1074,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/TN/Old-Hickory/403-Hadley-Ave-37138/home/108030702"
"137 Ramsden Ave",300000,3,2.5,1510,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/TN/La-Vergne/137-Ramsden-Ave-37086/home/148178872"
"1056B 2nd Ave S",300000,1,1.5,674,"2025-06-12T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1056B-2nd-Ave-S-37210/home/195807239"
"3829 Bonnacreek Dr",300000,3,2,1974,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/3829-Bonnacreek-Dr-37076/home/108083739"
"1900 Richard Jones Rd Unit W4",305000,2,2,976,"2025-04-17T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1900-Richard-Jones-Rd-37215/unit-W4/home/87816145"
"104 Woodcraft Ct",306000,3,2.5,1596,"2025-06-09T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/104-Woodcraft-Ct-37214/home/60803665"
"305 Connie Ave",306000,3,1,1550,"2025-05-27T07:00:00Z","YES","https://www.redfin.com/TN/Goodlettsville/305-Connie-Ave-37072/home/87802624"
"915 Hammack Dr",307000,3,2.5,2376,"2025-05-20T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/915-Hammack-Dr-37214/home/108091862"
"411 Kemper Dr N",310000,3,1.5,2000,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/TN/Madison/411-Kemper-Dr-N-37115/home/107991443"
"301 Dupont Ave",312000,3,2,1398,"2025-04-21T07:00:00Z","YES","https://www.redfin.com/TN/Madison/301-DuPont-Ave-37115/home/108030596"
"3109 Crosswood Dr",312000,2,1,855,"2025-04-16T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/3109-Crosswood-Dr-37214/home/107982315"
"989 Todd Preis Dr #403",315000,3,2.5,1782,"2025-05-16T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/989-Todd-Preis-Dr-37221/unit-403/home/60652947"
"1109 N 2nd St",315000,2,1,1234,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1109-N-2nd-St-37207/home/108052523"
"2808 Lera Jones Dr",315000,3,2,1466,"2025-05-16T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/2808-Lera-Jones-Dr-37013/home/87827931"
"2116 Hobbs Rd Unit F2",320000,2,2,1110,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/2116-Hobbs-Rd-37215/unit-F2/home/68707467"
"428 Adair Rd",320000,3,2,1165,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/428-Adair-Rd-37214/home/108026099"
"4487 Post Pl #31",320100,3,2.5,1842,"2025-06-13T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/4487-Post-Pl-37205/unit-31/home/87824556"
"807 18th Ave S #107",323000,1,1,745,"2025-04-08T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/807-18th-Ave-S-37203/unit-107/home/108137195"
"1212 Thompson Pl",328000,4,2.5,1468,"2025-05-02T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1212-Thompson-Pl-37217/home/60864912"
"1401 Bellavista Blvd",330000,3,3,2354,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1401-Bellavista-Blvd-37207/home/108029910"
"1125 10th Ave N #215",332432,1,1,660,"2025-04-14T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1125-10th-Ave-N-37208/unit-215/home/174896481"
"901 S 13th St",335000,2,1,660,"2025-06-10T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/901-S-13th-St-37206/home/108109850"
"414 Achievement Dr",337000,3,1,1448,"2025-05-27T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/414-Achievement-Dr-37209/home/108067798"
"4619 Xavier Dr",338000,4,1.5,1881,"2025-06-22T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/4619-Xavier-Dr-37013/home/60846813"
"1223 N 2nd St",340000,2,1,910,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1223-N-2nd-St-37207/home/108079129"
"223 Sapling Ave",347055,3,2.5,1576,"2025-04-22T07:00:00Z","YES","https://www.redfin.com/TN/Goodlettsville/223-Sapling-Ave-37072/home/194124964"
"1210 Strawberry Cv",350000,3,2,1362,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1210-Strawberry-Cv-37207/home/68775055"
"6313 Mount View Rd",350000,4,2.5,2450,"2025-04-29T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/6313-Mount-View-Rd-37013/home/108091720"
"415 Church St #1805",355000,1,1,718,"2025-04-21T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/415-Church-St-37219/unit-1805/home/108015841"
"242 Cedarview Dr",355000,3,2,1787,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/242-Cedarview-Dr-37013/home/108014197"
"3368 Hospital Ln",357800,3,2,1100,"2025-05-27T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/3368-Hospital-Ln-37218/home/108084947"
"5725 Collinwood Ct",360000,3,2,1318,"2025-04-21T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/5725-Collinwood-Ct-37013/home/108023109"
"516 Rural Hill Rd",360000,4,2,2350,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/516-Rural-Hill-Rd-37217/home/108132691"
"547 Stevenson St",362500,2,1,896,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/547-Stevenson-St-37209/home/107980053"
"2936 Lyndale Dr",365000,3,2,1668,"2025-05-09T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/2936-Lyndale-Dr-37207/home/108072787"
"3008 Reelfoot Dr",365000,3,2,1195,"2025-04-18T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/3008-Reelfoot-Dr-37214/home/108036856"
"5062 Dayflower Dr S",368490,3,2.5,1487,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/5062-Dayflower-Dr-37076/home/194478870"
"426 Hadleys Bend Blvd",369900,3,2,1114,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/TN/Old-Hickory/426-Hadleys-Bend-Blvd-37138/home/108080429"
"605 Plantation Ct #605",370000,4,3,1716,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/605-Plantation-Ct-37221/unit-605/home/87806528"
"1212 Demonbreun St #1804",373363,1,1,644,"2025-04-16T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1212-Demonbreun-St-37203/unit-1804/home/195817750"
"5064 Dayflower Dr",374990,3,2.5,1388,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/5064-Dayflower-Dr-37076/home/194332270"
"454 Mcmurray Dr",375000,3,2,1264,"2025-04-04T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/454-McMurray-Dr-37211/home/108115268"
"700 N Dupont Ave #227",377760,3,3.5,1904,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/TN/Madison/700-N-DuPont-Ave-37115/unit-227/home/189668200"
"1021 31st Ave N",380000,8,4,4130,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1021-31st-Ave-N-37209/home/108001200"
"1104 Clarke St",380000,3,1,1142,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/TN/Old-Hickory/1104-Clarke-St-37138/home/68772664"
"2304 Burns St",380000,2,2,896,"2025-04-08T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/2304-Burns-St-37216/home/107983228"
"904 Pin Oak Dr",380000,3,2.5,1562,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/904-Pin-Oak-Dr-37013/home/87808559"
"2551 Edge O Lake Dr",382000,3,1.5,1860,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/2551-Edge-O-Lake-Dr-37217/home/108056484"
"1404 Market Sq",385000,4,3,1747,"2025-04-29T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1404-Market-Sq-37076/home/87815298"
"1877 Brookmeadow Ln",385000,3,2.5,1464,"2025-05-09T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1877-Brookmeadow-Ln-37076/home/77504002"
"4303 Maxwell Rd",388000,3,2.5,1805,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/4303-Maxwell-Rd-37013/home/176576813"
"7345 Brady Ln",392000,3,2,1618,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/7345-Brady-Ln-37013/home/174645382"
"700 N Dupont Ave #229",398600,3,2.5,1745,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/TN/Madison/700-N-DuPont-Ave-37115/unit-229/home/189668198"
"965 Mulberry Hill Pl",399900,3,2.5,1606,"2025-05-20T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/965-Mulberry-Hill-Pl-37013/home/173418054"
"323 Gaywood Dr",399950,3,2,1525,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/323-Gaywood-Dr-37211/home/108027881"
"1619 Stonewater Dr",400000,3,2,1449,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1619-Stonewater-Dr-37076/home/79018790"
