"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"442 Kelton Ave","Los Angeles","CA","4550000","6/25/2025","8","8","6190","https://www.redfin.com/CA/Los-Angeles/442-Kelton-Ave-90024/home/6827252"
"10316 Lorenzo Dr","Los Angeles","CA","2850000","7/1/2025","3","1.5","1864","https://www.redfin.com/CA/Los-Angeles/10316-Lorenzo-Dr-90064/home/6797853"
"2527 Amherst Ave","Los Angeles","CA","2250000","6/27/2025","3","4","2420","https://www.redfin.com/CA/Los-Angeles/2527-Amherst-Ave-90064/home/6755131"
"5209 Baltimore St","Los Angeles","CA","1775000","6/25/2025","3","3","1643","https://www.redfin.com/CA/Los-Angeles/5209-Baltimore-St-90042/home/7082638"
"3821 S Muirfield Rd","Los Angeles","CA","1310000","6/24/2025","4","2","1620","https://www.redfin.com/CA/Los-Angeles/3821-S-Muirfield-Rd-90008/home/6888544"
"3843 N Riley Ln","Los Angeles","CA","1220425","6/24/2025","2","2.5","1642","https://www.redfin.com/CA/Los-Angeles/3843-N-Riley-Ln-90065/home/196186229"
"720 Waterloo St #12","Los Angeles","CA","730000","6/30/2025","2","2.5","1152","https://www.redfin.com/CA/Los-Angeles/720-Waterloo-St-90026/unit-12/home/7052522"
"1832 Oak Tree Dr #8","Los Angeles","CA","672000","6/30/2025","3","3","1530","https://www.redfin.com/CA/Los-Angeles/1832-Oak-Tree-Dr-90041/unit-8/home/7178899"
"10966 Rochester Ave Unit 5D","Los Angeles","CA","650000","6/30/2025","2","2","979","https://www.redfin.com/CA/Los-Angeles/10966-Rochester-Ave-90024/unit-5D/home/6801964"
