"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"10430 SW 133rd Ct","Miami","FL","770000","6/26/2025","4","2","2003","https://www.redfin.com/FL/Miami/10430-SW-133rd-Ct-33186/home/43184639"
"14420 Graves Dr","Miami","FL","430000","7/3/2025","3","2","1713","https://www.redfin.com/FL/Miami/14420-Graves-Dr-33176/home/43161344"
"14873 SW 104th St Unit 6-105","Miami","FL","305000","6/25/2025","2","2","770","https://www.redfin.com/FL/Miami/14873-SW-104th-St-33196/unit-6-105/home/43187133"
"8501 NW 31st Ave","Miami","FL","243000","7/1/2025","3","2","1225","https://www.redfin.com/FL/Miami/8501-NW-31st-Ave-33147/home/43035872"
"8600 SW 109th Ave Unit 4-107","Miami","FL","228000","6/30/2025","2","2","945","https://www.redfin.com/FL/Miami/8600-SW-109th-Ave-33173/unit-4-107/home/43356075"
